content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
Really missing Tnumber World Cup to watch in Bahrain,2022-10-23 06:36:39,5.6.0,0.0,23.799999999999997,76.2,-35.97,Negative
great pricing but you have to improve your quality at least to what was written Full HD,2022-10-22 09:05:24,5.6.0,29.9,0.0,70.1,75.06,Positive
Disappointed Just At The Time Of Icc Cricket WorldCup The Cric Life Max Channel Disappeared Missing,2022-10-22 01:18:13,5.6.0,0.0,35.6,64.4,-73.50999999999999,Negative
,2022-10-21 13:38:02,5.4.1,0.0,0.0,0.0,0.0,Neutral
Why you guys removed the the live channel criclife max right before the World Cup Are you serious,2022-10-21 01:05:28,5.6.0,0.0,7.1,92.9,-7.720000000000001,Negative
Error dmnumber appears and no videos play nothing work for me for more than a week,2022-10-17 08:54:31,5.6.0,12.4,25.4,62.2,-36.120000000000005,Negative
best TV app,2022-10-15 22:12:46,5.5.0,67.7,0.0,32.300000000000004,63.690000000000005,Positive
While i like the different libraries and selections i find the app to be unfriendly with many errors The stc theme music should be mutable  the previously watched videos do not get saved on the account rather on the device only so i am unable to resume where i stopped watching from other devices,2022-10-14 10:19:07,5.5.0,4.3999999999999995,16.1,79.5,-68.4,Negative
,2022-10-14 07:57:01,5.5.0,0.0,0.0,0.0,0.0,Neutral
very good app but still buffering,2022-10-13 19:34:45,5.5.0,29.5,0.0,70.5,27.24,Positive
there is a problem with the app I cannot play any video,2022-10-13 11:10:28,5.5.0,0.0,37.2,62.8,-57.699999999999996,Negative
awesome thumbs upthumbs upthumbs up,2022-10-13 09:53:33,5.5.0,50.6,0.0,49.4,62.49,Positive
Just want to check is this app available on Samsung tv If yes please guide,2022-10-11 06:13:30,,34.4,0.0,65.60000000000001,64.86,Positive
excellent service thumbs up,2022-10-09 13:13:15,5.5.0,55.2,0.0,44.800000000000004,57.19,Positive
,2022-10-08 12:35:25,5.5.0,0.0,0.0,0.0,0.0,Neutral
,2022-10-07 20:58:43,5.5.0,0.0,0.0,0.0,0.0,Neutral
Most of the times live tv is displaying error message content not available for your country some timesplays normaly Live tv will not work properly Writing this review after facing this same issue for so many times Do not waste your money,2022-10-06 03:50:01,5.5.0,5.2,6.0,88.8,-9.46,Negative
Very nice experience,2022-10-01 13:43:43,5.5.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
STC TV,2022-09-27 22:22:45,,0.0,0.0,100.0,0.0,Neutral
Such a Fabulous experience to watch sports its so smooth and fine Best result ever i got all of you if you are sports lover get your subscription AS SOON AS POSSIBLE so that you can watch ultra Hd result sports channels thank you Stc Tv,2022-09-26 16:29:04,5.5.0,28.999999999999996,0.0,71.0,94.28999999999999,Positive
amazing,2022-09-25 05:29:28,5.5.0,100.0,0.0,0.0,58.589999999999996,Positive
Not working with Xiaomimi tv stick,2022-09-22 02:08:11,5.4.1,0.0,0.0,100.0,0.0,Neutral
I am Support Engine r,2022-09-16 22:26:49,,57.4,0.0,42.6,40.19,Positive
warch everything red heart,2022-09-16 12:17:42,5.4.1,0.0,0.0,100.0,0.0,Neutral
Great app,2022-09-12 15:28:34,5.4.1,80.4,0.0,19.6,62.49,Positive
Thank you,2022-09-11 16:05:28,5.4.1,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
I use to have abu dhabi sport premium channel on the live TV channels and now it is gone with out any explanation and justifications to the subscribers,2022-09-11 13:13:33,5.4.1,0.0,0.0,100.0,0.0,Neutral
Only need to sports cricket channel more,2022-09-10 11:53:09,5.4.1,0.0,0.0,100.0,0.0,Neutral
media player not good even you cannot make live screen in full mood,2022-09-09 10:26:07,5.4.1,0.0,16.7,83.3,-34.12,Negative
nise,2022-09-04 16:54:44,5.4.1,0.0,0.0,100.0,0.0,Neutral
Gatiya system,2022-09-04 10:22:04,5.4.1,0.0,0.0,100.0,0.0,Neutral
so nice,2022-09-04 07:40:29,5.4.1,75.6,0.0,24.4,47.54,Positive
numberk         number                           number,2022-09-03 19:37:47,5.4.1,72.2,0.0,27.800000000000004,15.310000000000002,Positive
Very grateful,2022-09-03 09:06:54,5.4.1,76.7,0.0,23.3,50.949999999999996,Positive
Excellent unbelievable,2022-09-01 02:44:54,5.4.1,100.0,0.0,0.0,67.05,Positive
numbernumbernumber,2022-08-30 15:02:37,,0.0,0.0,100.0,0.0,Neutral
fantastic and super,2022-08-27 11:31:29,5.4.1,88.2,0.0,11.799999999999999,81.76,Positive
Just terrible First it does not have a big selection of thing to watch Second after every episode it stops and takes me to the profile page for no apparent reason and finally there is no button to skip to the next episode so you will have to wait until the end of the creditsgrinning face Horrible experience no wonder they are giving people a number month free subscription it is just sadgrinning squinting face,2022-08-27 11:16:48,3.2.3,8.200000000000001,17.2,74.6,-77.83,Negative
improve the quality,2022-08-23 15:16:13,5.4.1,59.199999999999996,0.0,40.8,44.04,Positive
ss,2022-08-19 02:41:40,5.4.1,0.0,0.0,100.0,0.0,Neutral
Good app,2022-08-18 20:03:49,,74.4,0.0,25.6,44.04,Positive
keeps redirecting to sign in website while streaming a show,2022-08-18 12:38:35,5.4.1,0.0,0.0,100.0,0.0,Neutral
numberAmerican SamoaAntigua  BarbudaAnguillaland IslandsAzerbaijanBurundiBahamasCongo  KinshasaBelizeCaribbean Netherlands,2022-08-17 06:02:21,,0.0,0.0,100.0,0.0,Neutral
Fix the app for Android TV its not worthy of STC name if it cannot do basic functions like resume were you watch last it cannot capture that accurately even one month of viewing will still show last episode you watch one month ago even though you have watched like number episode after on the same android tv You would think its easy,2022-08-16 14:52:00,5.4.1,13.200000000000001,3.5000000000000004,83.3,69.98,Positive
mbc                    number,2022-08-15 13:30:09,,56.49999999999999,0.0,43.5,7.720000000000001,Positive
error      error,2022-08-14 00:05:27,5.4.1,0.0,100.0,0.0,-65.97,Negative
It is a wonderful thumbs up,2022-08-13 18:23:59,,48.1,0.0,51.9,57.19,Positive
Always appear this error DRM number and its not work,2022-08-07 12:57:39,5.4.1,10.5,25.2,64.4,-42.63,Negative
,2022-08-01 14:25:37,5.3.0,0.0,0.0,0.0,0.0,Neutral
Worst app in live tv buffering number finish not coming loading with number,2022-07-29 09:53:45,,15.6,24.6,59.9,-54.230000000000004,Negative
Soooooo sloooooowwwwww Buffering like forever Sorry I am Uninstalling this app It comes free with my internet subscription but it is useless,2022-07-28 11:38:26,5.3.0,15.1,18.8,66.0,-23.82,Negative
Fs,2022-07-28 11:01:41,,0.0,0.0,100.0,0.0,Neutral
Superb,2022-07-27 11:05:11,5.3.0,100.0,0.0,0.0,62.49,Positive
Waw amazing,2022-07-26 15:53:09,5.3.0,79.2,0.0,20.8,58.589999999999996,Positive
great app,2022-07-26 05:40:09,5.3.0,80.4,0.0,19.6,62.49,Positive
number   stc tv          red heartred heartred heartroseloudly crying face,2022-07-26 04:05:54,5.3.0,11.4,27.200000000000003,61.4,-42.15,Negative
